Segment,Scores
About To Sleep,213
About To Sleep,221
About To Sleep,231
About To Sleep,241
About To Sleep,251
About To Sleep,312
About To Sleep,321
About To Sleep,331
At Risk,124
At Risk,125
At Risk,133
At Risk,134
At Risk,135
At Risk,142
At Risk,143
At Risk,145
At Risk,152
At Risk,153
At Risk,224
At Risk,225
At Risk,234
At Risk,235
At Risk,242
At Risk,243
At Risk,244
At Risk,245
At Risk,252
At Risk,253
At Risk,254
At Risk,255
Cannot Lose Them,113
Cannot Lose Them,114
Cannot Lose Them,115
Cannot Lose Them,144
Cannot Lose Them,154
Cannot Lose Them,155
Cannot Lose Them,214
Cannot Lose Them,215
Champions,445
Champions,454
Champions,455
Champions,544
Champions,545
Champions,554
Champions,555
Hibernating,122
Hibernating,123
Hibernating,132
Hibernating,211
Hibernating,212
Hibernating,222
Hibernating,223
Hibernating,231
Hibernating,232
Hibernating,233
Hibernating,241
Hibernating,251
Hibernating,322
Hibernating,332
Lost,111
Lost,112
Lost,121
Lost,131
Lost,141
Lost,151
Loyal,335
Loyal,344
Loyal,345
Loyal,354
Loyal,355
Loyal,435
Loyal,444
Loyal,543
Need Attention,324
Need Attention,325
Need Attention,334
Need Attention,343
Need Attention,434
Need Attention,443
Need Attention,534
Need Attention,535
New,311
New,411
New,412
New,421
New,422
New,511
New,512
Potential Loyalist,323
Potential Loyalist,333
Potential Loyalist,341
Potential Loyalist,342
Potential Loyalist,351
Potential Loyalist,352
Potential Loyalist,353
Potential Loyalist,423
Potential Loyalist,431
Potential Loyalist,432
Potential Loyalist,433
Potential Loyalist,441
Potential Loyalist,442
Potential Loyalist,451
Potential Loyalist,452
Potential Loyalist,453
Potential Loyalist,531
Potential Loyalist,532
Potential Loyalist,533
Potential Loyalist,541
Potential Loyalist,542
Potential Loyalist,551
Potential Loyalist,552
Potential Loyalist,553
Promising,313
Promising,314
Promising,315
Promising,413
Promising,414
Promising,415
Promising,424
Promising,425
Promising,513
Promising,514
Promising,515
Promising,521
Promising,522
Promising,523
Promising,524
Promising,525
